"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,4 Aug 2021 10:25:52.005,4 Aug 2021 10:31:45.255,353.250
2,5 Aug 2021 04:42:35.603,5 Aug 2021 04:47:06.330,270.726
3,5 Aug 2021 06:17:26.131,5 Aug 2021 06:23:52.712,386.580
4,5 Aug 2021 07:53:37.770,5 Aug 2021 08:00:09.312,391.542
5,5 Aug 2021 09:29:54.349,5 Aug 2021 09:36:20.558,386.208
6,5 Aug 2021 11:06:42.203,5 Aug 2021 11:11:08.597,266.393
7,6 Aug 2021 05:22:00.592,6 Aug 2021 05:27:55.396,354.804
8,6 Aug 2021 06:57:45.034,6 Aug 2021 07:04:16.709,391.675
9,6 Aug 2021 08:34:02.606,6 Aug 2021 08:40:34.362,391.756
10,6 Aug 2021 10:10:22.483,6 Aug 2021 10:16:23.636,361.153
11,7 Aug 2021 04:27:24.534,7 Aug 2021 04:31:29.484,244.950
12,7 Aug 2021 06:02:00.495,7 Aug 2021 06:08:24.808,384.313
13,7 Aug 2021 07:38:09.800,7 Aug 2021 07:44:41.356,391.556
14,7 Aug 2021 09:14:26.532,7 Aug 2021 09:20:54.560,388.028
15,7 Aug 2021 10:51:07.085,7 Aug 2021 10:55:55.382,288.297
16,8 Aug 2021 05:06:39.768,8 Aug 2021 05:12:25.452,345.684
17,8 Aug 2021 06:42:17.564,8 Aug 2021 06:48:49.015,391.451
18,8 Aug 2021 08:18:34.848,8 Aug 2021 08:25:06.621,391.773
19,8 Aug 2021 09:54:53.396,8 Aug 2021 10:01:01.151,367.755
20,9 Aug 2021 04:12:16.974,9 Aug 2021 04:15:49.654,212.679
21,9 Aug 2021 05:46:35.349,9 Aug 2021 05:52:56.768,381.419
22,9 Aug 2021 07:22:41.828,9 Aug 2021 07:29:13.429,391.601
23,9 Aug 2021 08:58:58.785,9 Aug 2021 09:05:28.175,389.390
24,9 Aug 2021 10:35:33.561,9 Aug 2021 10:40:40.067,306.507
25,10 Aug 2021 04:51:20.028,10 Aug 2021 04:56:54.887,334.859
26,10 Aug 2021 06:26:50.298,10 Aug 2021 06:33:21.336,391.038
27,10 Aug 2021 08:03:07.049,10 Aug 2021 08:09:38.780,391.731
28,10 Aug 2021 09:39:24.658,10 Aug 2021 09:45:37.885,373.227
29,10 Aug 2021 11:17:16.545,10 Aug 2021 11:18:59.341,102.796
30,11 Aug 2021 03:57:14.893,11 Aug 2021 04:00:04.874,169.981
31,11 Aug 2021 05:31:10.756,11 Aug 2021 05:37:28.545,377.789
32,11 Aug 2021 07:07:13.874,11 Aug 2021 07:13:45.538,391.663
33,11 Aug 2021 08:43:31.087,11 Aug 2021 08:50:01.449,390.363
34,11 Aug 2021 10:20:01.256,11 Aug 2021 10:25:23.039,321.783
35,12 Aug 2021 04:36:01.530,12 Aug 2021 04:41:23.556,322.025
36,12 Aug 2021 06:11:23.278,12 Aug 2021 06:17:53.655,390.377
37,12 Aug 2021 07:47:39.205,12 Aug 2021 07:54:10.870,391.665
38,12 Aug 2021 09:23:56.203,12 Aug 2021 09:30:13.921,377.719
39,12 Aug 2021 11:01:20.232,12 Aug 2021 11:04:09.335,169.103
40,13 Aug 2021 03:42:24.528,13 Aug 2021 03:44:08.908,104.379
41,13 Aug 2021 05:15:46.787,13 Aug 2021 05:22:00.101,373.314
42,13 Aug 2021 06:51:45.963,13 Aug 2021 06:58:17.695,391.732
43,13 Aug 2021 08:28:03.407,13 Aug 2021 08:34:34.435,391.028
44,13 Aug 2021 10:04:29.910,13 Aug 2021 10:10:04.565,334.655
45,14 Aug 2021 04:20:44.474,14 Aug 2021 04:25:51.270,306.796
46,14 Aug 2021 05:55:56.546,14 Aug 2021 06:02:25.957,389.411
47,14 Aug 2021 07:32:11.317,14 Aug 2021 07:38:42.919,391.602
48,14 Aug 2021 09:08:27.981,14 Aug 2021 09:14:49.344,381.363
49,14 Aug 2021 10:45:35.332,14 Aug 2021 10:49:07.378,212.047
50,15 Aug 2021 05:00:23.509,15 Aug 2021 05:06:31.366,367.856
51,15 Aug 2021 06:36:18.123,15 Aug 2021 06:42:49.893,391.770
52,15 Aug 2021 08:12:35.728,15 Aug 2021 08:19:07.172,391.444
53,15 Aug 2021 09:48:59.333,15 Aug 2021 09:54:44.846,345.512
54,16 Aug 2021 04:05:29.127,16 Aug 2021 04:10:17.767,288.639
55,16 Aug 2021 05:40:30.156,16 Aug 2021 05:46:58.212,388.056
56,16 Aug 2021 07:16:43.391,16 Aug 2021 07:23:14.947,391.556
57,16 Aug 2021 08:52:59.938,16 Aug 2021 08:59:24.207,384.269
58,16 Aug 2021 10:29:55.434,16 Aug 2021 10:33:59.889,244.455
59,17 Aug 2021 04:45:01.004,17 Aug 2021 04:51:02.281,361.278
60,17 Aug 2021 06:20:50.379,17 Aug 2021 06:27:22.137,391.758
61,17 Aug 2021 07:57:08.033,17 Aug 2021 08:03:39.704,391.671
62,17 Aug 2021 09:33:29.378,17 Aug 2021 09:39:24.038,354.660
63,18 Aug 2021 03:50:15.871,18 Aug 2021 03:54:42.686,266.815
64,18 Aug 2021 05:25:04.151,18 Aug 2021 05:31:30.395,386.245
65,18 Aug 2021 07:01:15.435,18 Aug 2021 07:07:46.977,391.542
66,18 Aug 2021 08:37:32.032,18 Aug 2021 08:43:58.579,386.546
67,18 Aug 2021 10:14:18.553,18 Aug 2021 10:18:48.872,270.319
68,19 Aug 2021 04:29:39.370,19 Aug 2021 04:35:32.771,353.401
69,19 Aug 2021 06:05:22.769,19 Aug 2021 06:11:54.417,391.648
70,19 Aug 2021 07:41:40.308,19 Aug 2021 07:48:12.073,391.764
71,19 Aug 2021 09:17:59.935,19 Aug 2021 09:24:02.270,362.335
72,20 Aug 2021 03:35:05.301,20 Aug 2021 03:39:05.426,240.125
73,20 Aug 2021 05:09:38.591,20 Aug 2021 05:16:02.472,383.881
74,20 Aug 2021 06:45:47.463,20 Aug 2021 06:52:19.025,391.561
75,20 Aug 2021 08:22:04.229,20 Aug 2021 08:28:32.513,388.284
76,20 Aug 2021 09:58:43.729,20 Aug 2021 10:03:35.273,291.544
77,21 Aug 2021 04:14:18.716,21 Aug 2021 04:20:02.733,344.017
78,21 Aug 2021 05:49:55.330,21 Aug 2021 05:56:26.725,391.396
79,21 Aug 2021 07:26:12.543,21 Aug 2021 07:32:44.312,391.769
80,21 Aug 2021 09:02:30.910,21 Aug 2021 09:08:39.646,368.736
81,22 Aug 2021 03:19:58.467,22 Aug 2021 03:23:24.957,206.489
82,22 Aug 2021 04:54:13.533,22 Aug 2021 05:00:34.405,380.872
83,22 Aug 2021 06:30:19.493,22 Aug 2021 06:36:51.103,391.610
84,22 Aug 2021 08:06:36.491,22 Aug 2021 08:13:06.069,389.577
85,22 Aug 2021 09:43:10.430,22 Aug 2021 09:48:19.655,309.225
86,23 Aug 2021 03:58:59.175,23 Aug 2021 04:04:32.048,332.873
87,23 Aug 2021 05:34:28.101,23 Aug 2021 05:40:59.049,390.947
88,23 Aug 2021 07:10:44.737,23 Aug 2021 07:17:16.460,391.722
89,23 Aug 2021 08:47:02.224,23 Aug 2021 08:53:16.261,374.037
90,23 Aug 2021 10:24:47.950,23 Aug 2021 10:26:44.894,116.944
91,24 Aug 2021 03:04:57.653,24 Aug 2021 03:07:38.995,161.341
92,24 Aug 2021 04:38:49.040,24 Aug 2021 04:45:06.151,377.111
93,24 Aug 2021 06:14:51.545,24 Aug 2021 06:21:23.219,391.674
94,24 Aug 2021 07:51:08.798,24 Aug 2021 07:57:39.291,390.493
95,24 Aug 2021 09:27:38.299,24 Aug 2021 09:33:02.367,324.068
96,25 Aug 2021 03:43:40.897,25 Aug 2021 03:49:00.575,319.678
97,25 Aug 2021 05:19:01.127,25 Aug 2021 05:25:31.366,390.239
98,25 Aug 2021 06:55:16.886,25 Aug 2021 07:01:48.541,391.655
99,25 Aug 2021 08:31:33.812,25 Aug 2021 08:37:52.190,378.378
100,25 Aug 2021 10:08:54.586,25 Aug 2021 10:11:51.848,177.262
101,26 Aug 2021 02:50:11.191,26 Aug 2021 02:51:39.215,88.024
102,26 Aug 2021 04:23:25.179,26 Aug 2021 04:29:37.660,372.481
103,26 Aug 2021 05:59:23.643,26 Aug 2021 06:05:55.382,391.740
104,26 Aug 2021 07:35:41.120,26 Aug 2021 07:42:12.233,391.113
105,26 Aug 2021 09:12:07.097,26 Aug 2021 09:17:43.676,336.579
106,27 Aug 2021 03:28:24.103,27 Aug 2021 03:33:28.107,304.004
107,27 Aug 2021 05:03:34.447,27 Aug 2021 05:10:03.662,389.215
108,27 Aug 2021 06:39:48.992,27 Aug 2021 06:46:20.584,391.592
109,27 Aug 2021 08:16:05.622,27 Aug 2021 08:22:27.510,381.888
110,27 Aug 2021 09:53:10.747,27 Aug 2021 09:56:48.745,217.998
111,28 Aug 2021 04:08:02.023,28 Aug 2021 04:14:08.871,366.848
112,28 Aug 2021 05:43:55.817,28 Aug 2021 05:50:27.590,391.773
113,28 Aug 2021 07:20:13.439,28 Aug 2021 07:26:44.932,391.493
114,28 Aug 2021 08:56:36.629,28 Aug 2021 09:02:23.765,347.135
115,29 Aug 2021 03:13:09.072,29 Aug 2021 03:17:54.380,285.308
116,29 Aug 2021 04:48:08.118,29 Aug 2021 04:54:35.907,387.789
117,29 Aug 2021 06:24:21.060,29 Aug 2021 06:30:52.611,391.552
118,29 Aug 2021 08:00:37.605,29 Aug 2021 08:07:02.292,384.687
119,29 Aug 2021 09:37:31.448,29 Aug 2021 09:41:40.577,249.130
120,30 Aug 2021 03:52:39.655,30 Aug 2021 03:58:39.723,360.068
121,30 Aug 2021 05:28:28.093,30 Aug 2021 05:34:59.841,391.747
122,30 Aug 2021 07:04:45.740,30 Aug 2021 07:11:17.435,391.695
123,30 Aug 2021 08:41:06.765,30 Aug 2021 08:47:02.792,356.027
124,31 Aug 2021 02:57:56.211,31 Aug 2021 03:02:18.983,262.771
125,31 Aug 2021 04:32:42.183,31 Aug 2021 04:39:08.074,385.891
126,31 Aug 2021 06:08:53.100,31 Aug 2021 06:15:24.643,391.543
127,31 Aug 2021 07:45:09.718,31 Aug 2021 07:51:36.588,386.870
128,31 Aug 2021 09:21:54.952,31 Aug 2021 09:26:29.079,274.127
129,1 Sep 2021 03:37:18.176,1 Sep 2021 03:43:10.133,351.957
130,1 Sep 2021 05:13:00.509,1 Sep 2021 05:19:32.126,391.617
131,1 Sep 2021 06:49:18.011,1 Sep 2021 06:55:49.780,391.769
132,1 Sep 2021 08:25:37.398,1 Sep 2021 08:31:40.878,363.480
133,2 Sep 2021 02:42:46.170,2 Sep 2021 02:46:41.281,235.111
134,2 Sep 2021 04:17:16.702,2 Sep 2021 04:23:40.132,383.430
135,2 Sep 2021 05:53:25.128,2 Sep 2021 05:59:56.695,391.568
136,2 Sep 2021 07:29:41.928,2 Sep 2021 07:36:10.457,388.528
137,2 Sep 2021 09:06:20.416,2 Sep 2021 09:11:15.117,294.701
138,3 Sep 2021 03:21:57.695,3 Sep 2021 03:27:39.997,342.301
