"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,4 Aug 2021 13:39:30.682,4 Aug 2021 13:45:23.170,352.488
2,4 Aug 2021 15:12:36.691,4 Aug 2021 15:19:07.635,390.945
3,5 Aug 2021 00:19:51.335,5 Aug 2021 00:25:28.252,336.918
4,5 Aug 2021 01:52:28.962,5 Aug 2021 01:59:13.091,404.130
5,5 Aug 2021 13:14:27.714,5 Aug 2021 13:18:22.464,234.750
6,5 Aug 2021 14:46:33.963,5 Aug 2021 14:53:39.792,425.829
7,5 Aug 2021 23:55:07.479,5 Aug 2021 23:58:55.693,228.214
8,6 Aug 2021 01:26:20.615,6 Aug 2021 01:33:32.534,431.919
9,6 Aug 2021 14:20:40.178,6 Aug 2021 14:27:55.416,435.238
10,6 Aug 2021 15:55:50.303,6 Aug 2021 15:58:22.182,151.879
11,7 Aug 2021 01:00:29.657,7 Aug 2021 01:07:42.260,432.603
12,7 Aug 2021 02:36:44.219,7 Aug 2021 02:39:04.835,140.617
13,7 Aug 2021 13:54:55.432,7 Aug 2021 14:01:54.365,418.933
14,7 Aug 2021 15:28:59.030,7 Aug 2021 15:34:00.132,301.101
15,8 Aug 2021 00:34:55.020,8 Aug 2021 00:41:43.271,408.251
16,8 Aug 2021 02:09:13.292,8 Aug 2021 02:14:28.739,315.447
17,8 Aug 2021 13:29:22.345,8 Aug 2021 13:35:33.895,371.550
18,8 Aug 2021 15:02:40.490,8 Aug 2021 15:08:57.692,377.201
19,9 Aug 2021 00:09:38.056,9 Aug 2021 00:15:34.194,356.139
20,9 Aug 2021 01:42:35.796,9 Aug 2021 01:49:07.412,391.616
21,9 Aug 2021 13:04:09.838,9 Aug 2021 13:08:44.857,275.019
22,9 Aug 2021 14:36:35.147,9 Aug 2021 14:43:34.440,419.293
23,9 Aug 2021 23:44:45.021,9 Aug 2021 23:49:08.820,263.798
24,10 Aug 2021 01:16:22.402,10 Aug 2021 01:23:29.880,427.478
