"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,5 Aug 2021 13:44:50.666,5 Aug 2021 13:52:42.800,472.134
2,5 Aug 2021 15:20:50.157,5 Aug 2021 15:28:29.970,459.812
3,6 Aug 2021 00:42:39.919,6 Aug 2021 00:51:01.160,501.241
4,6 Aug 2021 02:19:41.970,6 Aug 2021 02:26:20.897,398.927
5,6 Aug 2021 13:58:47.272,6 Aug 2021 14:07:11.996,504.724
6,6 Aug 2021 15:35:15.632,6 Aug 2021 15:42:02.114,406.483
7,6 Aug 2021 23:24:11.075,6 Aug 2021 23:27:19.340,188.264
8,7 Aug 2021 00:56:36.310,7 Aug 2021 01:05:14.170,517.859
9,7 Aug 2021 02:34:53.517,7 Aug 2021 02:39:47.753,294.236
10,7 Aug 2021 14:12:50.141,7 Aug 2021 14:21:29.536,519.395
11,7 Aug 2021 15:49:50.758,7 Aug 2021 15:55:19.301,328.543
12,7 Aug 2021 23:36:58.003,7 Aug 2021 23:42:18.979,320.976
13,8 Aug 2021 01:10:42.651,8 Aug 2021 01:19:22.513,519.862
14,8 Aug 2021 12:52:29.353,8 Aug 2021 12:57:12.332,282.978
15,8 Aug 2021 14:26:58.114,8 Aug 2021 14:35:36.659,518.545
16,8 Aug 2021 16:04:47.228,8 Aug 2021 16:08:09.814,202.586
17,8 Aug 2021 23:50:13.736,8 Aug 2021 23:56:55.140,401.404
18,9 Aug 2021 01:24:59.339,9 Aug 2021 01:33:25.814,506.476
19,9 Aug 2021 13:05:53.967,9 Aug 2021 13:12:26.583,392.617
20,9 Aug 2021 14:41:10.755,9 Aug 2021 14:49:33.829,503.074
21,10 Aug 2021 00:03:44.872,10 Aug 2021 00:11:21.210,456.337
22,10 Aug 2021 01:39:27.553,10 Aug 2021 01:47:22.977,475.424
23,10 Aug 2021 13:19:38.026,10 Aug 2021 13:27:15.613,457.586
24,10 Aug 2021 14:55:28.253,10 Aug 2021 15:03:20.881,472.627
25,11 Aug 2021 00:17:27.772,11 Aug 2021 00:25:40.800,493.028
26,11 Aug 2021 01:54:09.814,11 Aug 2021 02:01:11.604,421.790
27,11 Aug 2021 13:33:32.252,11 Aug 2021 13:41:48.898,496.646
